,Remaining NaNs,Unique Values,Data Type
TIRED_1,0,4,int64
TIRED_2,0,3,int64
TIRED_3,0,3,int64
RCS_AFD,0,4,int64
PAIN_2A,0,4,int64
ANX_3R,0,3,int64
DEP_3R,0,6,int64
COGCAUS2,0,14,int64
AGE_BAND,0,4,category
BMI_CAT,0,4,category
ALC_INTENSITY,0,101,float64
WORK_EXP_CAT,0,4,category
PAIN_INDEX,0,7,float64
MENTAL_HEALTH_SCORE,0,25,int64
SLEEP_SUFFICIENT,0,2,Int64
SLEEP_SUFF_LABEL,0,2,string
SLEEP_X_WORK,0,45,int64
SEX_X_ALC,0,9,int64
